,City,Cloudiness,Country,Humidity,Lat,Lng,Temp,Wind Speed
451,papara,20,BR,65,-3.98,-38.73,82.4,23.04
452,chimbote,8,PE,92,-9.08,-78.59,65.87,6.4
453,sisimiut,88,GL,69,66.94,-53.67,51.38,11.65
454,ventspils,0,LV,64,57.39,21.56,75.2,5.82
455,belyy yar,0,RU,72,53.6,91.39,59.0,4.47
456,leh,0,IN,89,34.16,77.58,28.79,1.7
457,aland,92,IN,79,17.57,76.57,75.59,11.21
458,hyderabad,40,IN,78,17.36,78.47,82.4,5.82
459,springfield,1,US,35,37.22,-93.29,89.6,3.36
460,camabatela,88,AO,75,-8.19,15.37,71.45,1.25
461,saint-pierre,0,FR,30,48.95,4.24,96.8,9.17
462,vestmannaeyjar,75,IS,100,63.44,-20.27,51.8,17.22
463,saint-louis,0,CH,41,47.59,7.56,93.2,13.87
464,san patricio,0,PY,65,-26.98,-56.83,68.12,4.27
465,iquique,75,CL,72,-20.22,-70.14,59.0,16.11
466,coihueco,75,CL,81,-36.63,-71.83,51.8,5.82
467,shenavan,40,TR,37,40.05,43.92,84.2,5.82
468,virginia beach,1,US,48,36.85,-75.98,84.2,11.41
469,namatanai,0,PG,100,-3.66,152.44,80.09,2.71
470,lalmohan,80,BD,94,22.34,90.74,81.71,7.4
471,gedo,48,ET,96,9.01,37.45,57.77,2.71
472,athabasca,92,CA,100,54.72,-113.29,60.38,9.75
473,juneau,75,US,82,58.3,-134.42,60.8,19.46
474,monte plata,40,DO,62,18.81,-69.79,89.6,9.17
475,palmer,0,AU,76,-34.85,139.16,53.6,17.22
476,touros,44,BR,74,-5.2,-35.46,80.54,15.35
477,axim,8,GH,95,4.87,-2.24,78.47,14.67
478,jilib,0,SO,74,0.49,42.79,77.57,11.88
479,biloela,0,AU,90,-24.4,150.51,52.46,6.96
480,saint-augustin,0,FR,28,44.83,-0.61,96.8,3.36
481,anloga,20,GH,78,5.79,0.9,80.6,17.22
482,ler,75,NO,77,63.2,10.3,64.4,5.82
483,katsuura,0,JP,79,33.93,134.5,79.82,1.7
484,katobu,68,ID,100,-4.94,122.53,74.51,2.37
485,linxia,92,CN,98,35.6,103.21,57.05,2.71
486,cody,1,US,46,44.53,-109.06,71.6,9.17
487,rocha,80,UY,81,-34.48,-54.34,60.02,9.75
488,khasan,92,RU,98,42.43,130.64,75.41,3.94
489,bara,20,NG,81,10.41,10.6,78.29,3.71
490,abha,40,SA,57,18.22,42.5,75.2,11.41
491,kavaratti,36,IN,95,10.57,72.64,82.97,13.11
492,beloha,0,MG,82,-25.17,45.06,61.46,8.63
493,estreito,40,BR,69,-22.44,-42.8,73.4,3.36
494,petropavlovsk-kamchatskiy,75,RU,100,53.05,158.65,53.6,2.24
495,tazovskiy,32,RU,68,67.47,78.7,41.21,2.93
496,oda,0,JP,91,35.19,132.5,78.74,2.48
497,nalut,0,LY,21,31.86,10.98,91.61,8.97
498,elko,1,US,24,40.83,-115.76,80.6,9.17
499,pyay,92,MM,99,18.82,95.22,74.78,8.75
500,laurel,1,US,39,45.67,-108.77,78.8,3.36
501,ust-nera,24,RU,91,64.57,143.24,42.92,2.04
502,inongo,32,CD,80,-1.93,18.29,78.83,2.59
503,kiamba,92,PH,100,5.99,124.62,72.35,4.83
504,azul,68,AR,74,-36.78,-59.86,52.91,5.61
505,santa maria del monte,0,IT,62,43.9,12.68,87.8,5.82
506,tandur,68,IN,76,19.18,79.43,79.55,8.97
507,anito,80,PH,100,12.45,125.29,81.89,19.71
508,ambilobe,8,MG,91,-13.19,49.05,69.47,3.83
509,cuamba,0,MZ,33,-14.8,36.54,60.83,5.61
510,kralendijk,76,BQ,66,12.15,-68.27,87.8,21.92
511,erzincan,75,TR,36,39.75,39.49,78.8,16.11
512,abdanan,0,IR,35,32.99,47.42,75.77,1.59
513,muros,0,ES,55,42.77,-9.06,89.6,4.7
514,egvekinot,32,RU,73,66.32,-179.17,37.25,3.6
515,nantucket,90,US,74,41.28,-70.1,84.2,19.46
516,moba,0,CD,61,-7.04,29.77,70.82,6.62
517,maltahohe,0,NA,17,-24.83,16.98,60.56,13.56
518,homer,90,US,93,59.64,-151.54,57.2,4.7
519,dankov,8,RU,42,53.25,39.16,76.4,7.74
520,simao,80,CN,96,22.76,100.79,67.13,2.26
521,baruun-urt,68,MN,94,46.68,113.28,64.34,8.41
522,lorengau,88,PG,100,-2.02,147.27,82.79,8.75
523,spirit river,40,CA,59,55.78,-118.84,66.2,26.4
524,mogadishu,80,SO,98,2.04,45.34,77.84,19.71
525,teguise,20,ES,61,29.06,-13.56,78.8,14.99
526,livezile,0,RO,63,47.18,24.57,65.06,3.04
527,matinhos,90,BR,100,-25.82,-48.53,62.6,3.36
528,magadan,12,RU,100,59.56,150.8,50.0,3.38
529,alta floresta,0,BR,28,-9.87,-56.08,96.8,4.7
530,vanavara,0,RU,92,60.35,102.28,42.11,2.59
531,girvan,40,GB,82,55.24,-4.86,62.6,11.41
532,sembabule,8,UG,83,-0.08,31.46,65.51,5.39
533,walvis bay,0,NA,100,-22.95,14.51,56.78,12.21
534,listowel,75,IE,72,52.45,-9.48,66.2,12.75
535,biu,0,NG,84,10.61,12.19,76.13,4.83
536,areia branca,40,BR,61,-10.76,-37.31,80.6,9.17
537,vytegra,20,RU,77,61.01,36.45,72.89,3.38
538,mount isa,0,AU,33,-20.73,139.49,59.0,9.17
539,saint-denis,0,FR,26,48.94,2.36,95.0,8.05
540,shimoda,75,JP,88,34.7,138.93,82.4,3.36
541,autun,0,FR,23,46.95,4.3,96.8,6.93
542,henties bay,0,NA,100,-22.12,14.28,54.17,7.96
543,grindavik,90,IS,93,63.84,-22.43,51.8,16.11
544,borogontsy,0,RU,92,62.67,131.17,54.62,2.82
545,raudeberg,75,NO,93,61.99,5.14,62.6,5.82
546,anori,0,BR,49,-3.74,-61.66,93.86,4.16
547,misratah,0,LY,75,32.38,15.09,82.97,8.19
548,amapa,75,HN,62,15.09,-87.97,87.8,4.7
549,galveston,40,US,69,40.58,-86.19,80.6,5.82
550,kutum,48,SD,84,14.2,24.66,69.11,3.49
551,acapulco,90,MX,83,16.86,-99.88,78.8,4.7
552,caluquembe,32,AO,54,-13.78,14.68,70.37,4.61
553,jijiga,68,ET,78,9.35,42.8,65.06,4.16
554,country club,20,BR,88,-23.02,-47.01,62.6,5.82
555,nyurba,44,RU,75,63.29,118.35,59.21,6.62
556,puri,20,ID,69,-7.54,112.45,73.4,5.73
